Customer_Id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment
12346,325,1,77183.6,1,1,5,7,3,High-Value Customers
12347,2,7,4310.0,5,5,5,15,0,Regular Customers
12348,75,4,1437.24,2,4,4,10,0,Regular Customers
12349,18,1,1457.55,4,1,4,9,0,Regular Customers
12350,310,1,294.40000000000003,1,1,2,4,1,At-Risk / Inactive
12352,36,7,1385.74,3,5,4,12,0,Regular Customers
12353,204,1,89.0,1,1,1,3,1,At-Risk / Inactive
12354,232,1,1079.4,1,1,4,6,1,At-Risk / Inactive
12355,214,1,459.40000000000003,1,1,2,4,1,At-Risk / Inactive
12356,22,3,2487.43,4,3,5,12,0,Regular Customers
12357,33,1,6207.67,3,1,5,9,0,Regular Customers
12358,1,2,928.0600000000001,5,2,4,11,0,Regular Customers
12359,57,4,6301.63,3,4,5,12,0,Regular Customers
12360,52,3,2302.06,3,3,5,11,0,Regular Customers
12361,287,1,174.9,1,1,1,3,1,At-Risk / Inactive
12362,3,10,4737.2300000000005,5,5,5,15,0,Regular Customers
12363,109,2,552.0,2,2,3,7,0,Regular Customers
12364,7,4,1208.1,5,4,4,13,0,Regular Customers
12365,291,1,320.69,1,1,2,4,1,At-Risk / Inactive
12367,4,1,150.9,5,1,1,7,0,Regular Customers
12370,51,4,3421.94,3,4,5,12,0,Regular Customers
12371,59,1,1527.96,3,1,4,8,0,Regular Customers
12372,71,3,1196.04,3,3,4,10,0,Regular Customers
12373,311,1,324.6,1,1,2,4,1,At-Risk / Inactive
12374,25,1,622.9300000000001,4,1,3,8,0,Regular Customers
12375,10,2,377.5,5,2,2,9,0,Regular Customers
12377,315,2,1548.1200000000001,1,2,4,7,1,At-Risk / Inactive
12378,129,1,4008.62,2,1,5,8,0,Regular Customers
12379,81,2,777.24,2,2,3,7,0,Regular Customers
12380,21,4,2427.81,4,4,5,13,0,Regular Customers
12381,4,3,1474.81,5,3,4,12,0,Regular Customers
12383,184,5,1628.56,1,4,4,9,1,At-Risk / Inactive
12384,28,2,425.27000000000004,4,2,2,8,0,Regular Customers
12386,337,2,401.9,1,2,2,5,1,At-Risk / Inactive
12388,15,6,2780.6600000000003,4,5,5,14,0,Regular Customers
12390,79,1,504.84000000000003,2,1,3,6,0,Regular Customers
12391,21,1,439.66,4,1,2,7,0,Regular Customers
12393,72,4,1582.6000000000001,2,4,4,10,0,Regular Customers
12394,63,2,1080.48,3,2,4,9,0,Regular Customers
12395,19,12,2682.63,4,5,5,14,0,Regular Customers
12397,35,2,2214.9,3,2,5,10,0,Regular Customers
12398,45,1,1435.66,3,1,4,8,0,Regular Customers
12399,119,4,1033.65,2,4,4,10,0,Regular Customers
12401,303,1,69.3,1,1,1,3,1,At-Risk / Inactive
12402,323,1,195.6,1,1,1,3,1,At-Risk / Inactive
12403,49,1,391.7,3,1,2,6,0,Regular Customers
12405,148,1,1390.39,2,1,4,7,1,At-Risk / Inactive
12406,22,2,3415.3,4,2,5,11,0,Regular Customers
12407,49,5,1507.12,3,4,4,11,0,Regular Customers
12408,32,5,2618.55,4,4,5,13,0,Regular Customers
12409,78,3,11072.67,2,3,5,10,0,Regular Customers
12410,308,2,533.33,1,2,3,6,1,At-Risk / Inactive
12412,74,3,1142.88,2,3,4,9,0,Regular Customers
12413,66,3,686.1,3,3,3,9,0,Regular Customers
12414,217,3,442.41,1,3,2,6,1,At-Risk / Inactive
12415,24,20,124564.53,4,5,5,14,2,VIP Customers
12417,3,9,3226.1,5,5,5,15,0,Regular Customers
12418,112,1,668.58,2,1,3,6,0,Regular Customers
12420,63,1,600.39,3,1,3,7,0,Regular Customers
12421,15,4,639.04,4,4,3,11,0,Regular Customers
12422,95,3,683.5600000000001,2,3,3,8,0,Regular Customers
12423,0,8,1634.31,5,5,4,14,0,Regular Customers
12424,162,2,1760.96,2,2,4,8,1,At-Risk / Inactive
12425,78,1,777.2,2,1,3,6,0,Regular Customers
12426,194,1,510.73,1,1,3,5,1,At-Risk / Inactive
12427,21,3,699.8000000000001,4,3,3,10,0,Regular Customers
12428,25,8,6405.26,4,5,5,14,0,Regular Customers
12429,9,4,3388.4,5,4,5,14,0,Regular Customers
12430,43,1,216.4,3,1,1,5,0,Regular Customers
12431,35,15,6314.95,3,5,5,13,3,High-Value Customers
12432,42,4,4359.32,3,4,5,12,0,Regular Customers
12433,0,7,13375.87,5,5,5,15,0,Regular Customers
12434,84,2,806.14,2,2,3,7,0,Regular Customers
12435,79,2,7829.89,2,2,5,9,0,Regular Customers
12436,99,1,429.01,2,1,2,5,0,Regular Customers
12437,1,18,4447.41,5,5,5,15,3,High-Value Customers
12438,14,2,2466.85,5,2,5,12,0,Regular Customers
12441,366,1,155.55,1,1,1,3,1,At-Risk / Inactive
12442,3,1,144.06,5,1,1,7,0,Regular Customers
12444,21,5,4085.46,4,4,5,13,0,Regular Customers
12445,22,1,77.4,4,1,1,6,0,Regular Customers
12446,57,1,1002.3100000000001,3,1,4,8,0,Regular Customers
12447,243,1,431.49,1,1,2,4,1,At-Risk / Inactive
12448,44,1,365.45,3,1,2,6,0,Regular Customers
12449,22,4,3596.29,4,4,5,13,0,Regular Customers
12450,156,2,197.88,2,2,1,5,1,At-Risk / Inactive
12451,10,5,8995.52,5,4,5,14,0,Regular Customers
12452,16,1,348.57,4,1,2,7,0,Regular Customers
12453,134,1,707.09,2,1,3,6,0,Regular Customers
12454,56,1,3528.34,3,1,5,9,0,Regular Customers
12455,73,5,2339.86,2,4,5,11,0,Regular Customers
12456,44,3,2581.04,3,3,5,11,0,Regular Customers
12457,66,6,2043.23,3,5,5,13,0,Regular Customers
12458,71,2,787.4,3,2,3,8,0,Regular Customers
12461,154,1,626.88,2,1,3,6,1,At-Risk / Inactive
12462,18,2,937.59,4,2,4,10,0,Regular Customers
12463,53,4,1200.78,3,4,4,11,0,Regular Customers
12464,10,8,957.05,5,5,4,14,0,Regular Customers
12465,17,2,682.19,4,2,3,9,0,Regular Customers
12468,187,2,657.5400000000001,1,2,3,6,1,At-Risk / Inactive
12471,2,27,17388.65,5,5,5,15,3,High-Value Customers
12472,32,7,6068.11,4,5,5,14,0,Regular Customers
